gene1_name,gene2_name,cell_line,label
RPS6KB1,SMARCA4,A549,0
HDAC6,SRC,A549,0
MLH1,MTOR,A549,0
H6PD,LDHB,A549,0
H6PD,PDHX,A549,0
GOT1,TPI1,A549,0
NME8,NME9,A549,0
FGFR2,PIK3CA,A549,0
PTEN,VEGFA,A549,0
TBC1D1,TBC1D4,A549,0
ALDOA,LDHC,A549,0
ENO3,RPE,A549,0
BRD4,CDK6,A549,0
GAPDHS,LDHA,A549,0
MLH1,RUNX1,A549,0
BRD4,VEGFA,A549,0
ENO2,PGK1,A549,0
DLD,HK2,A549,0
CHEK2,KMT2D,A549,0
GLS,GLS2,A549,0
CDK6,HDAC1,A549,0
TESK1,TESK2,A549,0
BRCA2,KDM6A,A549,0
BCL2L1,CHEK1,A549,0
GAPDHS,MDH1,A549,0
PLK2,PLK3,A549,0
BCL2,KMT2D,A549,0
LDHAL6B,PDHA1,A549,0
ROR1,SMARCA4,A549,1
FLT3,KMT2D,A549,0
MDH2,PDHB,A549,0
MAP3K1,RPS6KB1,A549,0
UBE2D1,UBE2L6,A549,0
FBP2,TPI1,A549,0
FBP2,GOT2,A549,0
CCL13,CCL8,A549,0
FGFR3,TYMS,A549,0
PBRM1,TYMS,A549,0
CDK4,KIT,A549,0
ARID2,CHEK2,A549,1
H6PD,ME2,A549,0
PDHB,PGAM1,A549,0
PKM,RPIA,A549,0
LDHA,LDHB,A549,0
ADA,PDGFRA,A549,0
CDH1,RB1,A549,0
PDHA2,PFKL,A549,0
LDHC,PFKM,A549,0
LDHC,PGK1,A549,0
BRD4,MET,A549,0
MAP3K1,MTOR,A549,0
HNRNPC,RALYL,A549,0
FBP2,H6PD,A549,0
AKT1,FLT3,A549,0
HSP90AA1,ROR1,A549,0
PIK3CA,TYMS,A549,0
MSH6,SMARCB1,A549,0
GATA3,RRM2,A549,0
ARID1A,RPS6KB1,A549,0
FGFR2,PARP1,A549,0
BRCA2,PIK3CA,A549,0
KCNH1,KCNH2,A549,0
BOK,PMAIP1,A549,0
BTK,PBRM1,A549,1
GATA3,HDAC1,A549,0
MCL1,PARP1,A549,0
NF1,WEE1,A549,0
ATM,CDK9,A549,0
MAP3K1,VEGFA,A549,0
DLAT,PKM,A549,0
BMF,HRK,A549,0
BAD,BCL2L14,A549,0
GOT1,PGLS,A549,0
TUBB,TUBB4A,A549,0
RB1,RRM2,A549,0
BRD4,RRM2,A549,0
GAPDHS,PGAM1,A549,0
DLD,LDHB,A549,0
KIT,MAP3K1,A549,0
FNTA,ROR1,A549,1
LDHA,PDHA1,A549,0
ABL1,BRAF,A549,0
PLCB1,PLCB4,A549,0
MTOR,PBRM1,A549,0
CDKN2A,SMARCB1,A549,0
HK3,TPI1,A549,0
APC,CDK6,A549,0
ME2,PFKP,A549,0
ENO3,LDHC,A549,0
AKT1,HDAC1,A549,0
CASP8,HSP90AA1,A549,0
ARID2,EGFR,A549,0
ALDOC,LDHC,A549,0
GAPDHS,GOT2,A549,0
BAX,HRK,A549,0
HDAC6,KMT2D,A549,0
ABL1,MET,A549,0
ME1,TPI1,A549,0
HK2,PFKL,A549,0
CASP8,TSC1,A549,0
FGFR2,KIT,A549,0
CHEK1,TSC1,A549,0
PTEN,SRC,A549,0
SMAD4,SMO,A549,0
AKT1,MLH1,A549,0
CHEK2,PARP1,A549,0
CDKN2A,TYMS,A549,0
BCL2L11,BNIP3,A549,0
DLAT,PGD,A549,0
AKT2,BCL2,A549,0
CHEK1,MAP2K2,A549,0
CDK6,FLT3,A549,0
BRAF,CDK4,A549,0
CDK9,SMARCB1,A549,0
BRD4,PBRM1,A549,0
EGFR,IGF1R,A549,0
KIT,RPS6KB1,A549,0
ATM,FNTA,A549,0
FBP1,H6PD,A549,0
BTK,FGFR2,A549,0
AKT1,BTK,A549,0
PFKP,PGK1,A549,0
DLD,FBP1,A549,0
CDKN2A,TP53,A549,0
BRCA2,MSH6,A549,0
CDK6,ERBB2,A549,1
MAPK10,MAPK12,A549,0
ENO2,GOT1,A549,0
ABL1,MLH1,A549,0
CAMKK1,CAMKK2,A549,0
APC,GATA3,A549,1
BCL2L11,BIK,A549,0
MAP2K1,SETD2,A549,0
AKT2,BRCA1,A549,0
ALK,WEE1,A549,0
CDK6,KMT2D,A549,0
MDH1,PGD,A549,0
FGFR2,SRC,A549,0
PIK3R1,PRKDC,A549,0
CHEK1,HDAC6,A549,0
EGFR,TP53,A549,0
MDH1,PFKP,A549,0
PFKM,TPI1,A549,0
FBP1,RPE,A549,0
FGFR2,HDAC1,A549,0
ALK,BTK,A549,1
KMT2D,PBRM1,A549,0
ALK,KDM6A,A549,0
MTHFS,ST20-MTHFS,A549,0
BCL2L2,CHEK1,A549,0
FLT3,SMARCB1,A549,0
FNTA,MAP3K1,A549,0
CDK4,FNTA,A549,0
MLH1,SMO,A549,0
CTSF,CTSL,A549,0
BIRC3,XIAP,A549,0
CHEK1,RUNX1,A549,0
CHEK2,TYMS,A549,0
CDK9,KIT,A549,0
CDKN1B,HDAC1,A549,0
ENO2,FBP2,A549,0
FBP1,PDHB,A549,0
HSP90AA1,VEGFA,A549,0
SMAD4,SMARCA4,A549,0
ATM,FLT3,A549,0
PDHX,PGK2,A549,0
PGD,TALDO1,A549,0
